epoch,train_loss,val_loss
213,-10805.045029127528,
214,-10579.600427881142,
215,-10666.353092259755,-10901.096862792969
216,-10767.454812816113,
217,-10711.150605130058,
218,-10609.439684564668,
219,-10692.833425532875,
220,-10793.563154804913,-10966.514282226562
221,-10620.707279624277,
222,-10711.143187770953,
223,-10562.691558661489,
224,-10646.379126399928,
225,-10702.229706692558,-11174.018981933594
226,-10726.423331376445,
227,-10784.668781611272,
228,-10696.901265579841,
229,-10653.815694996387,
230,-10725.392154759755,-11194.093688964844
231,-10720.092457324783,
232,-10758.809265489523,
233,-10879.785370755058,
234,-10657.311850839957,
235,-10732.37506209357,-11346.095458984375
236,-10864.478250316113,
237,-10717.406018560332,
238,-10704.882614929553,
239,-10807.493384212428,
240,-10836.6133376987,-11150.218200683594
241,-10767.567969878974,
242,-10883.599919842847,
243,-10688.702543578396,
244,-10771.393091808164,
245,-10796.155375045159,-11319.915710449219
246,-10727.613682035766,
247,-10912.509048726517,
248,-10712.00587630961,
249,-10851.499898392341,
250,-10753.115652095375,-11406.220336914062
251,-10883.426052203757,
252,-11013.779754109466,
253,-10838.174443415824,
254,-10894.613981213874,
255,-10906.909213556719,-11407.360961914062
256,-10891.258817286849,
257,-10781.351116555275,
258,-10968.91902434068,
259,-10719.53221527276,
260,-10950.247764631504,-11413.310363769531
261,-10937.145169120304,
262,-10776.261487310332,
263,-10832.320905211343,
264,-11039.028066293353,
265,-10793.455772444004,-11477.147888183594
266,-10835.991555274566,
267,-10970.986006367413,
268,-10953.927502935332,
269,-10785.255611000723,
270,-10839.339109916908,-11422.703674316406
271,-10892.23834898844,
272,-11076.165710802023,
273,-10866.629431222904,
274,-10880.487118406792,
275,-11106.92962540643,-11532.317626953125
276,-10836.204293488077,
277,-10933.412623058164,
278,-11060.546965317919,
279,-10976.485865245664,
280,-11117.680302790824,-11370.815795898438
281,-10887.069527863077,
282,-11002.020332821532,
283,-10978.034975614162,
284,-10884.288537527096,
285,-11032.693731936417,-11653.618835449219
286,-10981.598107839596,
287,-10997.062003251445,
288,-11095.47746003432,
289,-10956.406007270592,
290,-10918.132852014089,-11169.447082519531
291,-10932.842163791547,
292,-11043.804213330925,
293,-11076.806968027457,
294,-10950.474710982659,
295,-11002.415507586706,-11524.169067382812
296,-10988.794921875,
297,-11166.258964053468,
298,-11043.989726336706,
299,-11001.087862400651,
300,-11072.389100885115,-11603.588134765625
301,-11037.76567580383,
302,-11099.962168081647,
303,-10990.888355762283,
304,-10992.316609465317,
305,-11113.112936912934,-11297.59130859375
306,-10954.421485503974,
307,-10981.406481439668,
308,-11127.875208860189,
309,-10949.145829570087,
310,-11015.229582505419,-11436.416748046875
311,-11154.601133489885,
312,-11024.7754470737,
313,-11002.021382767341,
314,-11012.532559609826,
315,-11043.048715227602,-11356.52978515625
316,-11092.302215046966,
317,-10947.28328215318,
318,-11087.993423726517,
319,-10961.011047010477,
320,-10942.102256819004,-11462.214599609375
321,-11069.653975117413,
322,-11026.437742729408,
323,-11140.522116600434,
324,-11017.579016889451,
325,-11027.22660765896,-11555.543823242188
326,-11135.94719224169,
327,-11108.45417494581,
328,-11133.860616871387,
329,-11146.561986316836,
330,-11148.66893966763,-11595.361450195312
331,-11246.933751806358,
332,-11006.452396811777,
333,-11088.09863845737,
334,-11222.968558074423,
335,-10967.451341221098,-11494.475463867188
336,-11267.447073699423,
337,-11061.668578395953,
338,-11090.628155482298,
339,-11216.80656159682,
340,-11089.926159456287,-11496.754272460938
341,-11131.864579570087,
342,-11246.577724214234,
343,-11198.435083995664,
344,-11102.925233697615,
345,-11109.472515128251,-11455.164428710938
346,-11122.000378206287,
347,-11258.362005509392,
348,-11034.673348311055,
349,-11090.115877890174,
350,-11144.05169571893,-11816.383422851562
351,-11311.90417268786,
352,-11058.887469517702,
353,-11241.625739477962,
354,-11035.939334582732,
355,-11317.286031204841,-11660.937072753906
356,-11131.854955066836,
357,-11236.703537075506,
358,-11089.473294120304,
359,-11211.303880283598,
360,-11086.126078170159,-11545.960510253906
