epoch,train_loss,val_loss
189,-9133.570092350072,
190,-9113.806183390534,-9234.455505371094
191,-9120.442636831647,
192,-9136.976884257587,
193,-9030.919430771315,
194,-9124.665535811055,
195,-9148.119417223626,-9259.140625
196,-9134.886487310332,
197,-9114.114455382947,
198,-9042.529957324783,
199,-9113.015337111632,
200,-9137.831252257947,-9273.308044433594
201,-9100.812725794798,
202,-9099.904889586343,
203,-9154.30075867052,
204,-9113.817986813583,
205,-9164.324506638368,-9356.995178222656
206,-9140.882620574423,
207,-9199.757784275651,
208,-9153.995269598989,
209,-9196.91301255419,
210,-9095.070109284683,-9272.588012695312
211,-9111.105722769147,
212,-9171.395411849711,
213,-9192.573388954119,
214,-9149.167675216762,
215,-9182.789485865245,-9419.537475585938
216,-9161.370416365608,
217,-9235.119490606936,
218,-9200.515337111632,
219,-9120.532045926662,
220,-9136.75085237536,-9333.165710449219
221,-9134.874762915462,
222,-9165.386876806358,
223,-9182.288514947615,
224,-9158.39741013367,
225,-9166.138711389089,-9368.379089355469
226,-9174.376620077674,
227,-9222.671519373194,
228,-9174.93855559068,
229,-9210.198507496387,
230,-9201.920142024928,-9370.404907226562
231,-9203.860041094653,
232,-9186.125756412572,
233,-9205.750728188223,
234,-9202.910839279262,
235,-9227.055889857298,-9451.267700195312
236,-9247.494293036489,
237,-9257.42096053107,
238,-9260.374836298772,
239,-9234.193652908238,
240,-9196.73834898844,-9501.355285644531
241,-9250.149323744581,
242,-9220.074365516619,
243,-9186.679202041185,
244,-9191.056047913657,
245,-9249.381644011923,-9308.959716796875
246,-9180.629769915102,
247,-9229.057735729768,
248,-9211.607167855853,
249,-9217.578853188223,
250,-9303.695272985911,-9359.25341796875
251,-9234.233313764451,
252,-9270.342609736272,
253,-9256.160748961343,
254,-9274.70994964776,
255,-9334.31947141438,-9520.01318359375
256,-9337.934180816474,
257,-9319.256045655708,
258,-9301.447813177385,
259,-9316.124712111632,
260,-9310.51554597182,-9490.271301269531
261,-9325.239777140534,
262,-9261.956540146315,
263,-9301.572830111994,
264,-9321.593230671966,
265,-9300.143819996387,-9445.27685546875
266,-9307.5263107388,
267,-9288.834379515896,
268,-9244.207454615245,
269,-9320.273742322977,
270,-9290.428671423411,-9340.183044433594
271,-9218.909597407875,
272,-9352.295040417268,
273,-9284.246195357659,
274,-9297.706461118136,
275,-9334.654471865968,-9423.40478515625
276,-9326.27921784682,
277,-9361.825449331647,
278,-9319.289632631864,
279,-9305.090374367775,
280,-9248.876992639089,-9431.497131347656
281,-9320.446887418713,
282,-9272.131271450506,
283,-9318.523798771676,
284,-9322.493045520232,
285,-9298.79884505961,-9402.244812011719
286,-9354.730056674494,
287,-9363.19139496026,
288,-9363.977098762645,
289,-9351.054806042268,
290,-9356.622696893064,-9521.52978515625
291,-9390.404754109466,
292,-9253.710627032153,
293,-9260.844399160043,
294,-9394.25110639451,
295,-9373.634251941836,-9511.374816894531
296,-9386.084142431358,
297,-9411.125440299855,
298,-9391.073411533598,
299,-9286.974101336706,
300,-9411.832629606213,-9509.845703125
301,-9417.495230084898,
302,-9415.992159275651,
303,-9414.086123780708,
304,-9287.087580157153,
305,-9346.994174494219,-9537.1171875
306,-9463.383077808887,
307,-9398.01159456286,
308,-9405.601906837066,
309,-9411.83012328396,
310,-9434.27551481214,-9481.115905761719
311,-9309.078909636923,
312,-9340.077769373194,
313,-9474.786725523843,
314,-9437.245331692558,
315,-9455.62885544617,-9584.83642578125
316,-9478.979842169436,
317,-9321.758450370304,
318,-9294.331545791185,
319,-9316.582923139451,
320,-9391.659027276011,-9634.175598144531
321,-9434.143199060694,
322,-9417.24025130961,
323,-9454.690621613077,
324,-9468.19340453396,
325,-9473.295525876083,-9593.107116699219
326,-9413.969551571532,
327,-9415.462280979047,
328,-9506.365753703034,
329,-9485.855739703757,
330,-9418.04589279263,-9483.707092285156
331,-9420.397280301662,
332,-9322.22658507948,
333,-9357.305861632947,
334,-9521.30084334357,
335,-9446.800171604047,-9525.091674804688
336,-9481.842197660766,
337,-9468.660528811417,
338,-9478.665676932804,
339,-9449.091836389089,
340,-9441.581929642341,-9466.516845703125
