epoch,loss
219,-8609.445040545887
220,-8674.948810818829
221,-8711.564428401898
222,-8723.352786293513
223,-8748.1298828125
224,-8589.72364517405
225,-8450.764561906646
226,-8541.587445609177
227,-8679.18421182753
228,-8733.019061511075
229,-8739.28162084652
230,-8780.198810818829
231,-8778.544810621044
232,-8801.635952333861
233,-8725.793895866298
234,-8604.367756131329
235,-8736.2001953125
236,-8756.94103540348
237,-8676.560583959652
238,-8726.224300336235
239,-8726.217365506329
240,-8676.18885977057
241,-8651.655322883702
242,-8605.127472310127
243,-8670.485438093354
244,-8776.868658524525
245,-8825.27991495253
246,-8848.589757219146
247,-8788.348842958861
248,-8743.381440367879
249,-8764.937623615506
250,-8680.441084849683
251,-8798.560225474683
252,-8844.776874011075
253,-8874.210208168513
254,-8864.794279074367
255,-8766.096642602848
256,-8781.964448180379
257,-8734.518010779273
258,-8709.354640526108
259,-8840.101438884494
260,-8773.10155013845
261,-8824.400786194621
262,-8920.052042128165
263,-8884.649982693829
264,-8891.972742780854
265,-8879.497577136075
266,-8853.042239418513
267,-8952.865506329113
268,-8928.401280656646
269,-8868.80662826345
270,-8760.848076542721
271,-8870.609350276898
272,-8783.059805181962
273,-8765.854343848892
274,-8858.969454608387
275,-8940.556591178798
276,-8995.457859473892
277,-9007.892503955696
278,-9026.775538963608
279,-9006.114727551425
280,-8941.19591821598
281,-8961.43614022943
282,-8911.573637757121
283,-8971.708044897152
284,-8935.622651305379
285,-8877.06428006329
286,-8998.836209454113
287,-8948.692531151108
288,-8916.174273140823
289,-8805.915805478639
290,-8782.726068037975
291,-8860.011459157437
292,-9021.855963212025
293,-9059.935138943829
294,-9083.038160106804
295,-9094.099646459652
296,-9105.948452333861
297,-9086.28047122231
298,-8955.22871340981
299,-9019.531596123417
300,-8934.423086431962
301,-8923.730246242088
302,-8941.779877867879
303,-9039.213891910602
304,-9081.885630933544
305,-9115.13768295095
306,-9110.478837025317
307,-9118.413036491298
308,-9109.580115209652
309,-9071.335912776898
310,-9099.40528579905
311,-9073.593638746044
312,-8972.361402294304
313,-8898.110932555379
314,-8971.823662480221
315,-9092.013943829113
316,-9150.231123912183
317,-9187.697154371044
318,-9205.53106457674
319,-9175.602452531646
320,-9152.814354232594
321,-9034.383356408227
322,-9096.138894382912
323,-9146.942246835442
324,-9182.937994462025
325,-9177.544093651108
326,-9082.867323477058
327,-9143.313142800633
328,-9179.061449268196
329,-9191.068594244462
330,-9102.856148635285
331,-9053.153369758702
332,-8982.209651898735
333,-9072.895408920094
334,-9210.58573971519
335,-9236.796776107594
336,-9245.43377917326
337,-9262.155112737342
338,-9251.771410205696
339,-9236.263004351265
340,-9153.790496439873
341,-9231.441653481013
342,-9204.29551522943
343,-8850.356606012658
344,-8785.871217365506
345,-9000.536380043513
346,-9022.45469491693
347,-9102.476092761075
348,-9217.870673457279
349,-9277.160564181171
350,-9306.64533475079
351,-9327.736773140823
352,-9356.571412678006
353,-9346.143591772152
354,-9355.572191455696
355,-9344.686239121835
356,-9282.50742929193
357,-9236.987008010285
358,-9143.928624406646
359,-9084.59492434731
360,-9099.363800435127
